position,positional_rank,ttl_2023,ttl_2024,ttl_2025,expected_points_fraction,expected_points_decimal_50,formula
RB,14,189.2,211.2,206.7,6071/30,202.36666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,15,185.0,206.1,206.3,2987/15,199.13333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,16,180.0,205.5,194.8,5803/30,193.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,17,179.8,203.7,189.7,2866/15,191.06666666666666666666666666666666666666666666667,(ttl_2023+ttl_2024+ttl_2025)/3
RB,18,179.5,195.7,184.7,5599/30,186.63333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,19,178.2,181.0,179.3,359/2,179.5,(ttl_2023+ttl_2024+ttl_2025)/3
RB,20,176.3,174.1,171.4,2609/15,173.93333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,21,171.1,174.0,167.4,1025/6,170.83333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,22,164.6,173.0,161.3,1663/10,166.3,(ttl_2023+ttl_2024+ttl_2025)/3
RB,23,162.6,166.8,161.1,327/2,163.5,(ttl_2023+ttl_2024+ttl_2025)/3
RB,24,160.4,162.9,156.8,4801/30,160.03333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,25,159.6,159.4,154.2,2366/15,157.73333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,26,159.2,158.2,148.9,4663/30,155.43333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,27,153.1,156.8,133.3,2216/15,147.73333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,28,152.8,155.7,132.9,2207/15,147.13333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,29,151.5,147.7,132.3,863/6,143.83333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,30,139.3,143.9,131.4,691/5,138.2,(ttl_2023+ttl_2024+ttl_2025)/3
RB,31,138.7,122.6,128.5,1949/15,129.93333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,32,138.4,115.5,119.7,1868/15,124.53333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,33,126.7,114.8,118.9,1802/15,120.13333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
RB,34,123.7,114.3,117.9,3559/30,118.63333333333333333333333333333333333333333333333,(ttl_2023+ttl_2024+ttl_2025)/3
